"","RVSN_ADDR_CD","year","misc_n","misc_cost","misc_case","deliv_n","deliv_cost","deliv_case","N46_n","N97_n","O00_n","O01_n","O02_n","O03_n","O05_n","O06_n","O08_n","O80_n","O81_n","O82_n","O83_n","O84_n","Z32_n","O04_n","NA_n","O07_n","N46_cost","N97_cost","O00_cost","O01_cost","O02_cost","O03_cost","O05_cost","O06_cost","O08_cost","O80_cost","O81_cost","O82_cost","O83_cost","O84_cost","Z32_cost","O04_cost","NA_cost","O07_cost","N46_case","N97_case","O00_case","O01_case","O02_case","O03_case","O05_case","O06_case","O08_case","O80_case","O81_case","O82_case","O83_case","O84_case","Z32_case","O04_case","NA_case","O07_case"
"1",11110,2018,90,29847060,232,55,106755760,64,260,465,15,2,55,11,2,3,2,25,3,24,2,1,13,0,0,0,53168790,501624610,2819070,92760,24224350,942480,326740,1246480,195180,36812190,5648070,58874660,3104990,2315850,1771700,0,0,0,628,4258,39,4,159,19,3,5,3,25,3,33,2,1,22,0,0,0
"2",11110,2019,90,42163560,249,159,343353800,201,250,455,22,0,48,11,1,4,4,38,5,91,21,4,17,0,0,0,44855440,523004050,17787010,0,21558650,765010,62550,487410,1502930,63090320,9109630,222003520,34941620,14208710,1999790,0,0,0,524,4103,75,0,138,22,2,6,6,44,5,126,21,5,21,0,0,0
"3",11110,2020,81,29903170,229,123,331179710,174,235,447,6,0,58,11,2,2,1,31,8,66,10,8,17,1,0,0,52393090,647740300,1920610,0,25811610,1085850,151980,367150,37170,62761280,17960430,191955360,18353840,40148800,1904640,528800,0,0,592,4015,36,0,161,22,3,4,1,35,9,107,11,12,27,2,0,0
"4",11110,2021,79,49005030,229,155,433480300,249,254,485,8,0,54,9,1,5,1,29,13,92,13,8,11,1,0,0,52748500,728865820,6760680,0,37549900,2032410,100680,2281700,153380,62695970,39536910,279457040,26073260,25717120,3597730,126280,0,0,638,4201,32,0,162,15,2,10,6,45,17,161,13,13,34,2,0,0
"5",11110,2022,75,42818500,226,159,405113410,210,232,447,11,0,50,12,0,0,2,38,6,98,13,4,18,0,0,0,55507410,740946140,10544760,0,28369090,3614520,0,0,290130,81851320,15585050,264054010,31566190,12056840,5408440,0,0,0,571,4009,61,0,144,18,0,0,3,47,6,135,13,9,46,0,0,0
"6",11110,2023,60,29472500,165,145,428855360,199,254,496,12,0,31,13,1,2,0,24,9,94,11,7,11,1,0,0,59881180,871914280,7831660,0,18154030,1693220,84950,89340,0,69121620,28203160,288977410,24046790,18506380,1807180,1619300,0,0,587,4183,44,0,91,24,2,2,0,25,9,141,15,9,14,2,0,0
"7",11140,2018,131,58255900,333,69,138960510,95,358,621,20,3,75,21,2,4,4,26,4,32,6,1,31,2,0,0,73481050,536393620,18211710,140690,32287290,4080500,21900,1063990,646850,46279580,7357410,71753410,10310770,3259340,8845160,1802970,0,0,897,5145,66,6,203,36,2,10,8,33,4,48,8,2,108,2,0,0
"8",11140,2019,130,41453120,351,219,474556430,288,310,647,26,1,75,16,3,3,5,51,13,135,14,6,24,1,0,0,55959500,662168850,8712050,25240,29292840,659880,575120,963060,1190590,79542570,28476550,321711210,26054900,18771200,4126830,34340,0,0,785,5610,70,1,238,24,5,6,5,63,15,184,15,11,50,2,0,0
"9",11140,2020,130,81102140,360,216,542958430,369,313,641,26,2,73,18,4,2,5,65,8,123,12,8,24,0,0,0,63788690,929344500,30051960,38180,43224140,5980700,303070,30650,1473440,136800850,18912070,335345010,26937590,24962910,5241810,0,0,0,758,5427,88,3,226,30,4,2,7,99,9,237,12,12,56,0,0,0
"10",11140,2021,136,75909990,387,225,592921440,417,319,663,26,1,73,23,1,3,8,45,14,143,9,14,22,1,0,0,66746670,1045387940,14142440,792430,42811220,3668460,11780,209750,14143090,88228390,32362140,393342120,20945130,58043660,4047930,130820,0,0,825,5670,67,3,262,38,1,4,11,66,16,295,9,31,53,1,0,0
